"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Controllers\adminController.js", "JavaScript", -16, -1, -4, -21
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Controllers\authController.js", "JavaScript", -12, 0, -4, -16
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Controllers\userController.js", "JavaScript", -212, -53, -47, -312
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Routes\adminRoute.js", "JavaScript", 5, 0, 2, 7
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Routes\authRoutes.js", "JavaScript", 24, 7, 10, 41
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Routes\userRoute.js", "JavaScript", 25, 0, 8, 33
"Total", "-", -186, -47, -35, -268
