"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Controllers\adminController.js", "JavaScript", 16, 1, 4, 21
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Controllers\authController.js", "JavaScript", 12, 0, 4, 16
"c:\Users\anitd\OneDrive\Documents\GitHub\isp-services\server\Controllers\userController.js", "JavaScript", 212, 53, 47, 312
"Total", "-", 240, 54, 55, 349
